latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,daynight,brightness,frp,log_frp,delta_brightness,confidence_enc,land_use_type,distance_to_industrial,historical_frequency,time_of_day,season,month,category
8.30407,77.63763,313.44,0.46,0.39,2026-08-27,2019,N,VIIRS,n,2.0NRT,293.13,N,313.44,1.33,0.8458682675776092,20.31,1,unknown,2690.6084709749352,0,Evening,Monsoon,8,Anomaly/Unclassified
8.30766,77.63818,310.18,0.46,0.39,2026-08-27,2019,N,VIIRS,n,2.0NRT,293.28,N,310.18,1.33,0.8458682675776092,16.9,1,unknown,3005.589650823524,0,Evening,Monsoon,8,Anomaly/Unclassified
7.93105,81.38248,331.54,0.44,0.46,2026-08-27,741,N,VIIRS,n,2.0NRT,299.2,D,331.54,3.19,1.4327007339340463,32.34,1,unknown,50000.0,1,Morning,Monsoon,8,Anomaly/Unclassified
7.93113,81.2623,347.38,0.45,0.47,2026-08-27,741,N,VIIRS,n,2.0NRT,296.46,D,347.38,8.43,2.2438960966453663,50.92,1,unknown,50000.0,0,Morning,Monsoon,8,Wildfire Risk
7.93412,81.38229,340.78,0.44,0.46,2026-08-27,741,N,VIIRS,n,2.0NRT,299.88,D,340.78,4.3,1.667706820558076,40.9,1,unknown,50000.0,1,Morning,Monsoon,8,Agricultural Burning
7.93437,81.33264,334.16,0.44,0.46,2026-08-27,741,N,VIIRS,n,2.0NRT,299.4,D,334.16,3.31,1.4609379041156565,34.76,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
7.92286,81.40872,341.88,0.39,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,308.16,D,341.88,4.75,1.749199854809259,33.72,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
7.94071,81.30248,345.2,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,308.84,D,345.2,20.34,3.060583245873607,36.36,1,unknown,50000.0,2,Morning,Monsoon,8,Anomaly/Unclassified
7.94124,81.30596,352.39,0.39,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,313.67,D,352.39,20.34,3.060583245873607,38.72,1,unknown,50000.0,1,Morning,Monsoon,8,Wildfire Risk
7.94297,81.295,350.67,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,310.0,D,350.67,80.22,4.397161522258152,40.67,1,unknown,50000.0,2,Morning,Monsoon,8,Anomaly/Unclassified
7.94403,81.30197,352.31,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,313.41,D,352.31,20.34,3.060583245873607,38.9,1,unknown,50000.0,2,Morning,Monsoon,8,Anomaly/Unclassified
7.94456,81.30545,367.0,0.39,0.36,2026-08-31,807,N,VIIRS,h,2.0NRT,311.43,D,367.0,20.34,3.060583245873607,55.57,2,unknown,50000.0,1,Morning,Monsoon,8,Wildfire Risk
8.03437,80.19405,338.36,0.39,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,306.27,D,338.36,6.16,1.9685099809725544,32.09,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.08878,80.19277,344.37,0.39,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,305.52,D,344.37,5.01,1.7934247485471162,38.85,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.26829,80.17477,333.76,0.39,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,308.72,D,333.76,2.7,1.308332819650179,25.04,0,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.28108,80.16919,341.22,0.39,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,309.37,D,341.22,3.83,1.5748464676644813,31.85,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.29091,80.21081,346.43,0.39,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,308.56,D,346.43,5.81,1.918392120161421,37.87,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.30053,80.16256,339.1,0.39,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,308.91,D,339.1,3.66,1.5390154481375546,30.19,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.30774,80.12835,332.31,0.39,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,306.22,D,332.31,2.95,1.3737155789130306,26.09,0,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.31053,80.29387,334.22,0.39,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,305.49,D,334.22,1.4,0.8754687373538999,28.73,0,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.34692,80.20496,336.99,0.39,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,309.9,D,336.99,3.86,1.5810384379124023,27.09,0,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.34746,80.20847,336.17,0.39,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,309.73,D,336.17,3.85,1.5789787049493917,26.44,0,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.3721,80.43393,336.87,0.39,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,304.21,D,336.87,6.87,2.063058062429312,32.66,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.37858,80.18925,336.53,0.39,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,308.88,D,336.53,4.28,1.6639260977181702,27.65,0,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.38648,80.15206,334.03,0.39,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,304.84,D,334.03,4.9,1.7749523509116738,29.19,0,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.38703,80.15557,346.01,0.39,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,310.23,D,346.01,4.9,1.7749523509116738,35.78,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.47334,80.16677,342.12,0.39,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,309.88,D,342.12,7.33,2.1198634561787513,32.24,1,unknown,50000.0,0,Morning,Monsoon,8,Wildfire Risk
8.48646,80.36195,333.66,0.39,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,306.36,D,333.66,2.3,1.1939224684724346,27.3,0,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.49849,80.39584,331.59,0.39,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,303.07,D,331.59,2.61,1.2837077723447896,28.52,0,unknown,50000.0,0,Morning,Monsoon,8,Agricultural Burning
7.95897,80.09814,338.14,0.39,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,304.5,D,338.14,3.06,1.4011829736136414,33.64,0,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
7.99786,80.37258,332.12,0.39,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,305.98,D,332.12,6.58,2.0255131996542803,26.14,0,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
7.9984,80.37608,349.28,0.39,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,308.42,D,349.28,6.58,2.0255131996542803,40.86,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.14198,79.99303,337.81,0.39,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,303.02,D,337.81,3.1,1.410986973710262,34.79,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
7.96847,80.62367,334.81,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,303.21,D,334.81,2.45,1.2383742310432684,31.6,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.53706,77.95217,335.66,0.37,0.58,2026-08-27,744,N,VIIRS,n,2.0NRT,291.67,D,335.66,2.88,1.355835153635182,43.99,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.53767,77.95551,330.37,0.37,0.58,2026-08-27,744,N,VIIRS,n,2.0NRT,291.3,D,330.37,2.88,1.355835153635182,39.07,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.93558,77.80733,336.01,0.37,0.58,2026-08-27,744,N,VIIRS,n,2.0NRT,294.19,D,336.01,2.63,1.2892326482767593,41.82,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.71467,77.97586,332.45,0.75,0.77,2026-08-28,724,N,VIIRS,n,2.0NRT,291.91,D,332.45,6.6,2.028148247292285,40.54,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.57969,77.66151,339.99,0.48,0.48,2026-08-29,845,N,VIIRS,n,2.0NRT,295.44,D,339.99,3.72,1.551808799597464,44.55,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.60485,77.9724,339.73,0.5,0.49,2026-08-29,845,N,VIIRS,n,2.0NRT,288.68,D,339.73,3.44,1.4906543764441333,51.05,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.60874,77.96722,336.02,0.5,0.49,2026-08-29,845,N,VIIRS,n,2.0NRT,287.79,D,336.02,2.7,1.308332819650179,48.23,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.64795,77.83846,336.15,0.49,0.49,2026-08-29,845,N,VIIRS,n,2.0NRT,293.65,D,336.15,2.82,1.3402504226184837,42.5,1,unknown,50000.0,1,Morning,Monsoon,8,Agricultural Burning
8.65245,77.83784,330.16,0.49,0.49,2026-08-29,845,N,VIIRS,n,2.0NRT,291.93,D,330.16,1.92,1.0715836162801904,38.23,1,unknown,50000.0,1,Morning,Monsoon,8,Agricultural Burning
8.60875,77.83811,330.12,0.41,0.37,2026-08-30,826,N,VIIRS,n,2.0NRT,284.72,D,330.12,2.3,1.1939224684724346,45.4,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.88687,77.78855,336.67,0.41,0.37,2026-08-30,828,N,VIIRS,n,2.0NRT,297.2,D,336.67,3.0,1.3862943611198906,39.47,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.91,77.59529,335.65,0.4,0.37,2026-08-30,828,N,VIIRS,n,2.0NRT,296.51,D,335.65,1.37,0.8628899551470398,39.14,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.93239,77.96133,333.2,0.42,0.37,2026-08-30,828,N,VIIRS,n,2.0NRT,296.5,D,333.2,2.9,1.3609765531356006,36.7,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.93294,77.9651,349.29,0.42,0.37,2026-08-30,828,N,VIIRS,n,2.0NRT,296.81,D,349.29,2.9,1.3609765531356006,52.48,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.72874,78.1054,335.79,0.73,0.76,2026-08-28,724,N,VIIRS,n,2.0NRT,291.61,D,335.79,9.62,2.362739015813793,44.18,1,unknown,50000.0,1,Morning,Monsoon,8,Wildfire Risk
8.73258,78.10741,334.15,0.73,0.76,2026-08-28,724,N,VIIRS,n,2.0NRT,291.19,D,334.15,7.04,2.0844290831908747,42.96,1,unknown,50000.0,1,Morning,Monsoon,8,Wildfire Risk
8.74677,78.08665,332.55,0.51,0.49,2026-08-29,845,N,VIIRS,n,2.0NRT,287.41,D,332.55,2.69,1.3056264580524357,45.14,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.78732,78.01003,339.42,0.42,0.37,2026-08-30,828,N,VIIRS,n,2.0NRT,301.37,D,339.42,4.32,1.6714733033535532,38.05,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.80542,78.10815,335.36,0.42,0.38,2026-08-30,828,N,VIIRS,n,2.0NRT,296.09,D,335.36,2.62,1.2864740258376797,39.27,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.90006,80.48241,343.34,0.49,0.48,2026-08-27,744,N,VIIRS,n,2.0NRT,287.95,D,343.34,5.58,1.884034745337226,55.39,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.57365,80.37617,329.17,0.52,0.67,2026-08-28,724,N,VIIRS,n,2.0NRT,282.05,D,329.17,3.95,1.599387576580599,47.12,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.5192,80.46411,331.95,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,300.33,D,331.95,2.27,1.184789984909162,31.62,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.5921,80.41267,348.81,0.39,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,308.67,D,348.81,9.48,2.349468678892896,40.14,1,unknown,50000.0,0,Morning,Monsoon,8,Wildfire Risk
8.66698,80.36886,337.97,0.39,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,307.33,D,337.97,3.35,1.4701758451005926,30.64,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.74873,80.32748,338.49,0.39,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,305.13,D,338.49,3.57,1.5195132049061133,33.36,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.80894,80.39244,341.51,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,306.81,D,341.51,3.36,1.4724720573609429,34.7,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.90582,80.40517,338.33,0.38,0.36,2026-08-31,807,N,VIIRS,n,2.0NRT,305.91,D,338.33,4.3,1.667706820558076,32.42,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.91568,80.42508,341.63,0.38,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,314.07,D,341.63,28.96,3.3998631586490187,27.56,0,unknown,50000.0,0,Morning,Monsoon,8,Wildfire Risk
8.9767,80.37984,336.51,0.38,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,308.02,D,336.51,6.26,1.9823798288367047,28.49,0,unknown,50000.0,1,Morning,Monsoon,8,Industrial (Normal)
8.97723,80.38334,337.39,0.38,0.36,2026-08-31,807,N,VIIRS,l,2.0NRT,307.43,D,337.39,6.26,1.9823798288367047,29.96,0,unknown,50000.0,1,Morning,Monsoon,8,Agricultural Burning
8.07976,81.34676,341.29,0.44,0.46,2026-08-27,741,N,VIIRS,n,2.0NRT,297.32,D,341.29,3.62,1.5303947050936475,43.97,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.16389,81.33283,331.58,0.44,0.46,2026-08-27,741,N,VIIRS,n,2.0NRT,297.15,D,331.58,2.9,1.3609765531356006,34.43,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.18319,81.21323,333.47,0.45,0.47,2026-08-27,741,N,VIIRS,n,2.0NRT,297.42,D,333.47,4.85,1.766441661243765,36.05,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.18388,81.21734,335.58,0.45,0.47,2026-08-27,741,N,VIIRS,n,2.0NRT,295.36,D,335.58,3.52,1.5085119938441398,40.22,1,unknown,50000.0,0,Morning,Monsoon,8,Anomaly/Unclassified
8.18817,81.2166,332.07,0.45,0.47,2026-08-27,741,N,VIIRS,n,2.0NRT,296.28,D,332.07,2.87,1.3532545070416904,35.79,1,unknown,50000.0,0,Morning,Monsoon,8,Wildfire Risk
